Macroclimate;Specie;Site;code;Plant;N seeds;
Mediterranean;Helictochloa marginata;Rabinalto;240821-06;2;0;pasadas?
Mediterranean;Helictochloa marginata;Rabinalto;240821-06;3;0;pasadas?
Mediterranean;Helictochloa marginata;Rabinalto;240821-06;4;0;pasadas?
Mediterranean;Helictochloa marginata;Rabinalto;240821-06;5;2;pasadas?
Mediterranean;Helictochloa marginata;Rabinalto;240821-06;6;0;pasadas?
Mediterranean;Helictochloa marginata;Rabinalto;240821-06;7;0;pasadas?
Mediterranean;Helictochloa marginata;Rabinalto;240821-06;8;1;pasadas?
Mediterranean;Helictochloa marginata;Rabinalto;240821-06;9;4;pasadas?
Mediterranean;Helictochloa marginata;Rabinalto;240821-06;10;0;pasadas?
Temperate;Helictotrichon sedenense;Hou sin tierri;130921-01;1;1;
Temperate;Helictotrichon sedenense;Hou sin tierri;130921-01;2;0;
Temperate;Helictotrichon sedenense;Hou sin tierri;130921-01;3;4;
Temperate;Helictotrichon sedenense;Hou sin tierri;130921-01;4;0;
Temperate;Helictotrichon sedenense;Hou sin tierri;130921-01;5;2;
Temperate;Helictotrichon sedenense;Hou sin tierri;130921-01;6;0;
Temperate;Helictotrichon sedenense;Hou sin tierri;130921-01;7;0;
Temperate;Helictotrichon sedenense;Hou sin tierri;130921-01;8;2;
Temperate;Helictotrichon sedenense;Hou sin tierri;130921-01;9;1;
Temperate;Helictotrichon sedenense;Hou sin tierri;130921-01;10;0;
Temperate;Helictotrichon sedenense;Hoyo sin tierra;300821-09;1;0;
Temperate;Helictotrichon sedenense;Hoyo sin tierra;300821-09;2;3;
Temperate;Helictotrichon sedenense;Hoyo sin tierra;300821-09;3;0;
Temperate;Helictotrichon sedenense;Hoyo sin tierra;300821-09;4;0;
Temperate;Helictotrichon sedenense;Hoyo sin tierra;300821-09;5;2;
Temperate;Helictotrichon sedenense;Hoyo sin tierra;300821-09;6;0;
Temperate;Helictotrichon sedenense;Hoyo sin tierra;300821-09;7;0;
Temperate;Helictotrichon sedenense;Hoyo sin tierra;300821-09;8;1;
Temperate;Helictotrichon sedenense;Hoyo sin tierra;300821-09;9;0;
Temperate;Helictotrichon sedenense;Hoyo sin tierra;190822-12;1;2;
Temperate;Jasione cavanillesii;Boches;140921-05;1;7;
Temperate;Jasione cavanillesii;Boches;140921-05;2;10;
Temperate;Jasione cavanillesii;Boches;140921-05;3;2;
Temperate;Jasione cavanillesii;Boches;140921-05;4;6;
Temperate;Jasione cavanillesii;Boches;140921-05;5;10;
Temperate;Jasione cavanillesii;Boches;140921-05;6;2;
Temperate;Jasione cavanillesii;Boches;140921-05;7;5;
Temperate;Jasione cavanillesii;Boches;140921-05;8;0;
Temperate;Jasione cavanillesii;Boches;140921-05;9;1;
Temperate;Jasione cavanillesii;Boches;140921-05;10;0;
Temperate;Jasione cavanillesii;Hou sin tierri;130921-14;1;1;
Temperate;Jasione cavanillesii;Hou sin tierri;130921-14;2;1;
Temperate;Jasione cavanillesii;Hou sin tierri;130921-14;3;9;
Temperate;Jasione cavanillesii;Hou sin tierri;130921-14;4;0;
Temperate;Jasione cavanillesii;Hou sin tierri;130921-14;5;3;
Temperate;Jasione cavanillesii;Hou sin tierri;130921-14;6;10;
Temperate;Jasione cavanillesii;Hou sin tierri;130921-14;7;1;
Temperate;Jasione cavanillesii;Hou sin tierri;130921-14;8;0;
Temperate;Jasione cavanillesii;Hou sin tierri;130921-14;9;1;
Temperate;Jasione cavanillesii;Hou sin tierri;130921-14;10;9;
Temperate;Jasione cavanillesii;Boches;230822-02;1;0;
Temperate;Jasione cavanillesii;Boches;230822-02;2;12;
Temperate;Jasione cavanillesii;Boches;230822-02;3;1;
Temperate;Jasione cavanillesii;Boches;230822-02;4;22;
Temperate;Jasione cavanillesii;Boches;230822-02;5;2;
Temperate;Jasione cavanillesii;Boches;230822-02;6;0;
Temperate;Jasione cavanillesii;Boches;230822-02;7;3;
Temperate;Jasione cavanillesii;Boches;230822-02;8;1;
Temperate;Jasione cavanillesii;Boches;230822-02;9;1;
Temperate;Jasione cavanillesii;Boches;230822-02;10;1;
Mediterranean;Jasione laevis;Penauta;040822-08;1;173;
Mediterranean;Jasione laevis;Penauta;040822-08;2;33;
Mediterranean;Jasione laevis;Penauta;040822-08;3;106;
Mediterranean;Jasione laevis;Penauta;040822-08;4;42;
Mediterranean;Jasione laevis;Penauta;040822-08;5;310;
Mediterranean;Jasione laevis;Penauta;040822-08;6;230;
Mediterranean;Jasione laevis;Penauta;040822-08;7;3;
Mediterranean;Jasione laevis;Penauta;040822-08;8;144;
Mediterranean;Jasione laevis;Penauta;040822-08;9;42;
Mediterranean;Jasione laevis;Penauta;040822-08;10;53;
Mediterranean;Jurinea humilis;Cañada;120821-03;1;15;contadas semillas no viables
Mediterranean;Jurinea humilis;Cañada;120821-03;2;11;contadas semillas no viables
Mediterranean;Jurinea humilis;Cañada;120821-03;3;4;contadas semillas no viables
Mediterranean;Jurinea humilis;Cañada;120821-03;4;13;contadas semillas no viables
Mediterranean;Jurinea humilis;Cañada;120821-03;5;18;contadas semillas no viables
Mediterranean;Jurinea humilis;Cañada;120821-03;6;14;contadas semillas no viables
Mediterranean;Jurinea humilis;Cañada;120821-03;7;11;contadas semillas no viables
Mediterranean;Jurinea humilis;Cañada;120821-03;8;34;contadas semillas no viables
Mediterranean;Jurinea humilis;Cañada;120821-03;9;1;contadas semillas no viables
Mediterranean;Jurinea humilis;Cañada;120821-03;10;32;contadas semillas no viables
Mediterranean;Jurinea humilis;Solana;110821-06;1;45;contadas semillas no viables
Mediterranean;Jurinea humilis;Solana;110821-06;2;18;contadas semillas no viables
Mediterranean;Jurinea humilis;Solana;110821-06;3;38;contadas semillas no viables
Mediterranean;Jurinea humilis;Solana;110821-06;4;35;contadas semillas no viables
Mediterranean;Jurinea humilis;Solana;110821-06;5;19;contadas semillas no viables
Mediterranean;Jurinea humilis;Solana;110821-06;6;23;contadas semillas no viables
Mediterranean;Jurinea humilis;Solana;110821-06;7;47;contadas semillas no viables
Mediterranean;Jurinea humilis;Solana;110821-06;8;38;contadas semillas no viables
Mediterranean;Jurinea humilis;Solana;110821-06;9;34;contadas semillas no viables
Mediterranean;Jurinea humilis;Solana;110821-06;10;42;contadas semillas no viables
Temperate ;Kobresia myosuroides;Hou sin tierri;130921-03;1;57;
Temperate ;Kobresia myosuroides;Hou sin tierri;130921-03;2;21;
Temperate ;Kobresia myosuroides;Hou sin tierri;130921-03;3;29;
Temperate ;Kobresia myosuroides;Hou sin tierri;130921-03;4;30;
Temperate ;Kobresia myosuroides;Hou sin tierri;130921-03;5;42;
Temperate ;Kobresia myosuroides;Hou sin tierri;130921-03;6;19;
Temperate ;Kobresia myosuroides;Hou sin tierri;130921-03;7;39;
Temperate ;Kobresia myosuroides;Hou sin tierri;130921-03;8;14;
Temperate ;Kobresia myosuroides;Hou sin tierri;130921-03;9;22;
Temperate ;Kobresia myosuroides;Hou sin tierri;130921-03;10;43;
Temperate;Koeleria vallesiana ;Hoyo sin tierra;300821-02;1;13;
Temperate;Koeleria vallesiana ;Hoyo sin tierra;300821-02;2;18;
Temperate;Koeleria vallesiana ;Hoyo sin tierra;300821-02;3;17;
Temperate;Koeleria vallesiana ;Hoyo sin tierra;300821-02;4;56;
Temperate;Koeleria vallesiana ;Hoyo sin tierra;300821-02;5;16;
Temperate;Koeleria vallesiana ;Hoyo sin tierra;300821-02;6;37;
Temperate;Koeleria vallesiana ;Hoyo sin tierra;300821-02;7;5;
Temperate;Koeleria vallesiana ;Hoyo sin tierra;300821-02;8;2;
Temperate;Koeleria vallesiana ;Hoyo sin tierra;300821-02;9;52;
Temperate;Koeleria vallesiana ;Hoyo sin tierra;300821-02;10;35;
Temperate ;Koeleria vallesiana ;Los cazadores;310821-09;1;7;
Temperate ;Koeleria vallesiana ;Los cazadores;310821-09;2;32;
Temperate ;Koeleria vallesiana ;Los cazadores;310821-09;3;11;
Temperate ;Koeleria vallesiana ;Los cazadores;310821-09;4;11;
Temperate ;Koeleria vallesiana ;Los cazadores;310821-09;5;16;
Temperate ;Koeleria vallesiana ;Los cazadores;310821-09;6;19;
Temperate ;Koeleria vallesiana ;Los cazadores;310821-09;7;95;
Temperate ;Koeleria vallesiana ;Los cazadores;310821-09;8;32;
Temperate ;Koeleria vallesiana ;Los cazadores;310821-09;9;22;
Temperate ;Koeleria vallesiana ;Los cazadores;310821-09;10;39;
Temperate;Linaria alpina;Hou sin tierri;190822-01;1;31;
Temperate;Linaria alpina;Hou sin tierri;190822-01;2;8;
Temperate;Linaria alpina;Hou sin tierri;190822-01;3;52;
Temperate;Linaria alpina;Hou sin tierri;190822-01;4;60;
Temperate;Linaria alpina;Hou sin tierri;190822-01;5;16;
Temperate;Linaria alpina;Hou sin tierri;190822-01;6;58;
Temperate;Linaria alpina;Hou sin tierri;190822-01;7;95;
Mediterranean;Luzula caespitosa;Penauta;110821-03;1;0;
Mediterranean;Luzula caespitosa;Penauta;110821-03;2;18;
Mediterranean;Luzula caespitosa;Penauta;110821-03;3;4;
Mediterranean;Luzula caespitosa;Penauta;110821-03;4;7;
Mediterranean;Luzula caespitosa;Penauta;110821-03;5;31;
Mediterranean;Luzula caespitosa;Penauta;110821-03;6;7;
Mediterranean;Luzula caespitosa;Penauta;110821-03;7;102;
Mediterranean;Luzula caespitosa;Penauta;110821-03;8;22;
Mediterranean;Luzula caespitosa;Penauta;110821-03;9;5;
Mediterranean;Luzula caespitosa;Penauta;110821-03;10;2;
Mediterranean;Luzula caespitosa;Rabinalto;120821-04;1;0;
Mediterranean;Luzula caespitosa;Rabinalto;120821-04;2;31;
Mediterranean;Luzula caespitosa;Rabinalto;120821-04;3;8;
Mediterranean;Luzula caespitosa;Rabinalto;120821-04;4;3;
Mediterranean;Luzula caespitosa;Rabinalto;120821-04;5;0;
Mediterranean;Luzula caespitosa;Rabinalto;120821-04;6;0;
Mediterranean;Luzula caespitosa;Rabinalto;120821-04;7;2;
Mediterranean;Luzula caespitosa;Rabinalto;120821-04;8;4;
Mediterranean;Luzula caespitosa;Rabinalto;120821-04;9;14;
Mediterranean;Luzula caespitosa;Rabinalto;120821-04;10;0;
Temperate ;Minuartia CF;Los cazadores;310821-10;1;132;
Temperate ;Minuartia CF;Los cazadores;310821-10;2;45;
Temperate ;Minuartia CF;Los cazadores;310821-10;3;89;
Temperate ;Minuartia CF;Los cazadores;310821-10;4;58;
Temperate ;Minuartia CF;Los cazadores;310821-10;5;84;
Temperate ;Minuartia CF;Los cazadores;310821-10;6;16;
Temperate ;Minuartia CF;Los cazadores;310821-10;7;80;
Temperate ;Minuartia CF;Los cazadores;310821-10;8;118;
Temperate ;Minuartia CF;Los cazadores;310821-10;9;115;
Temperate ;Minuartia CF;Los cazadores;310821-10;10;55;
Mediterranean;Minuartia recurva;Cañada;120821-01;1;62;
Mediterranean;Minuartia recurva;Cañada;120821-01;2;38;
Mediterranean;Minuartia recurva;Cañada;120821-01;3;92;
Mediterranean;Minuartia recurva;Cañada;120821-01;4;200;
Mediterranean;Minuartia recurva;Cañada;120821-01;5;551;
Mediterranean;Minuartia recurva;Cañada;120821-01;6;515;
Mediterranean;Minuartia recurva;Cañada;120821-01;7;419;
Mediterranean;Minuartia recurva;Cañada;120821-01;8;101;
Mediterranean;Minuartia recurva;Cañada;120821-01;9;120;
Mediterranean;Minuartia recurva;Cañada;120821-01;10;276;
Mediterranean;Minuartia recurva;Solana;110821-07;1;56;
Mediterranean;Minuartia recurva;Solana;110821-07;2;32;
Mediterranean;Minuartia recurva;Solana;110821-07;3;34;
Mediterranean;Minuartia recurva;Solana;110821-07;4;51;
Mediterranean;Minuartia recurva;Solana;110821-07;5;7;
Mediterranean;Minuartia recurva;Solana;110821-07;6;14;
Mediterranean;Minuartia recurva;Solana;110821-07;7;23;
Mediterranean;Minuartia recurva;Solana;110821-07;8;108;
Mediterranean;Minuartia recurva;Solana;110821-07;9;18;
Mediterranean;Minuartia recurva;Solana;110821-07;10;142;
Temperate;Minuartia verna;Hoyo sin tierra;300821-06;1;6;
Temperate;Minuartia verna;Hoyo sin tierra;300821-06;2;7;
Temperate;Minuartia verna;Hoyo sin tierra;300821-06;3;16;
Temperate;Minuartia verna;Hoyo sin tierra;300821-06;4;17;
Temperate;Minuartia verna;Hoyo sin tierra;300821-06;5;46;
Temperate;Minuartia verna;Hoyo sin tierra;300821-06;6;17;
Temperate;Minuartia verna;Hoyo sin tierra;300821-06;7;11;
Temperate;Minuartia verna;Hoyo sin tierra;300821-06;8;15;
Temperate;Minuartia verna;Hoyo sin tierra;300821-06;9;16;
Temperate;Minuartia verna;Hoyo sin tierra;300821-06;10;4;
Mediterranean;Neochischkinia truncatula;Penauta;250821-03;1;168;
Mediterranean;Neochischkinia truncatula;Penauta;250821-03;2;66;
Mediterranean;Neochischkinia truncatula;Penauta;250821-03;3;361;
Mediterranean;Neochischkinia truncatula;Penauta;250821-03;4;221;
Mediterranean;Neochischkinia truncatula;Penauta;250821-03;5;168;
Mediterranean;Neochischkinia truncatula;Penauta;250821-03;6;451;
Mediterranean;Neochischkinia truncatula;Penauta;250821-03;7;2;
Mediterranean;Neochischkinia truncatula;Penauta;250821-03;8;295;
Mediterranean;Neochischkinia truncatula;Penauta;250821-03;9;217;
Mediterranean;Neochischkinia truncatula;Penauta;250821-03;10;19;
Mediterranean;Neochischkinia truncatula;Rabinalto;240821-07;1;18;
Mediterranean;Neochischkinia truncatula;Rabinalto;240821-07;2;260;
Mediterranean;Neochischkinia truncatula;Rabinalto;240821-07;3;198;
Mediterranean;Neochischkinia truncatula;Rabinalto;240821-07;4;650;
Mediterranean;Neochischkinia truncatula;Rabinalto;240821-07;5;129;
Mediterranean;Neochischkinia truncatula;Rabinalto;240821-07;6;1373;
Mediterranean;Neochischkinia truncatula;Rabinalto;240821-07;7;394;
Mediterranean;Neochischkinia truncatula;Rabinalto;240821-07;8;8;
Mediterranean;Neochischkinia truncatula;Rabinalto;240821-07;9;246;
Mediterranean;Neochischkinia truncatula;Rabinalto;240821-07;10;612;
Temperate;Pedicularis pyrenaica;Los cazadores;310821-04;1;0;
Temperate;Pedicularis pyrenaica;Los cazadores;310821-04;2;53;
Temperate;Pedicularis pyrenaica;Los cazadores;310821-04;3;0;
Temperate;Pedicularis pyrenaica;Los cazadores;310821-04;4;0;
Temperate;Pedicularis pyrenaica;Los cazadores;310821-04;5;4;
Temperate;Pedicularis pyrenaica;Los cazadores;310821-04;6;1;
Temperate;Pedicularis pyrenaica;Los cazadores;310821-04;7;16;
Temperate;Pedicularis pyrenaica;Los cazadores;310821-04;8;20;
Temperate;Pedicularis pyrenaica;Los cazadores;310821-04;9;33;
Temperate;Pedicularis pyrenaica;Los cazadores;310821-04;10;91;
Temperate;Pedicularis pyrenaica;Los cazadores;300822-02;1;20;
Temperate;Pedicularis pyrenaica;Los cazadores;300822-02;2;21;
Temperate;Pedicularis pyrenaica;Los cazadores;300822-02;3;0;
Temperate;Pedicularis pyrenaica;Los cazadores;300822-02;4;11;
Temperate;Pedicularis pyrenaica;Los cazadores;300822-02;5;0;
Temperate;Pedicularis pyrenaica;Los cazadores;300822-02;6;21;
Temperate;Pedicularis pyrenaica;Los cazadores;300822-02;7;21;
Temperate;Pedicularis pyrenaica;Los cazadores;300822-02;8;0;
Temperate;Pedicularis pyrenaica;Los cazadores;300822-02;9;2;
Temperate;Pedicularis pyrenaica;Los cazadores;300822-02;10;1;
Temperate ;Pedicularis pyrenaica;Hou sin tierri;130921-04;1;5;
Temperate ;Pedicularis pyrenaica;Hou sin tierri;130921-04;2;44;
Temperate ;Pedicularis pyrenaica;Hou sin tierri;130921-04;3;3;
Temperate ;Pedicularis pyrenaica;Hou sin tierri;130921-04;4;51;
Temperate ;Pedicularis pyrenaica;Hou sin tierri;130921-04;5;11;
Temperate ;Pedicularis pyrenaica;Hou sin tierri;130921-04;6;20;
Temperate ;Pedicularis pyrenaica;Hou sin tierri;130921-04;7;7;
Temperate ;Pedicularis pyrenaica;Hou sin tierri;130921-04;8;2;
Temperate ;Pedicularis pyrenaica;Hou sin tierri;130921-04;9;20;
Temperate ;Pedicularis pyrenaica;Hou sin tierri;130921-04;10;0;
Mediterranean;Phalacrocarpum oppossitifolium;Penauta;110821-02;1;0;
Mediterranean;Phalacrocarpum oppossitifolium;Penauta;110821-02;2;0;
Mediterranean;Phalacrocarpum oppossitifolium;Penauta;110821-02;3;7;
Mediterranean;Phalacrocarpum oppossitifolium;Penauta;110821-02;4;25;
Mediterranean;Phalacrocarpum oppossitifolium;Penauta;110821-02;5;5;
Mediterranean;Phalacrocarpum oppossitifolium;Penauta;110821-02;6;70;
Mediterranean;Phalacrocarpum oppossitifolium;Penauta;110821-02;7;74;
Mediterranean;Phalacrocarpum oppossitifolium;Penauta;110821-02;8;0;
Mediterranean;Phalacrocarpum oppossitifolium;Penauta;110821-02;9;20;
Mediterranean;Phalacrocarpum oppossitifolium;Penauta;110821-02;10;15;
Mediterranean;Phalacrocarpum oppossitifolium;Penauta;250821-05;1;2;
Mediterranean;Phalacrocarpum oppossitifolium;Penauta;250821-05;2;9;
Mediterranean;Phalacrocarpum oppossitifolium;Penauta;250821-05;3;9;
Mediterranean;Phalacrocarpum oppossitifolium;Penauta;250821-05;4;1;
Mediterranean;Phalacrocarpum oppossitifolium;Penauta;250821-05;5;3;
Mediterranean;Phalacrocarpum oppossitifolium;Penauta;250821-05;6;0;
Mediterranean;Phalacrocarpum oppossitifolium;Penauta;250821-05;7;15;
Mediterranean;Phalacrocarpum oppossitifolium;Penauta;250821-05;8;20;
Mediterranean;Phalacrocarpum oppossitifolium;Penauta;250821-05;9;0;
Mediterranean;Phalacrocarpum oppossitifolium;Penauta;250821-05;10;0;
Mediterranean;Phalacrocarpum oppossitifolium;Rabinalto;120821-05;1;9;
Mediterranean;Phalacrocarpum oppossitifolium;Rabinalto;120821-05;2;2;
Mediterranean;Phalacrocarpum oppossitifolium;Rabinalto;120821-05;3;6;
Mediterranean;Phalacrocarpum oppossitifolium;Rabinalto;120821-05;4;7;
Mediterranean;Phalacrocarpum oppossitifolium;Rabinalto;120821-05;5;15;
Mediterranean;Phalacrocarpum oppossitifolium;Rabinalto;120821-05;6;5;
Mediterranean;Phyteuma hemisphaericum;Cañada;240821-10;1;51;
Mediterranean;Phyteuma hemisphaericum;Cañada;240821-10;2;71;
Mediterranean;Phyteuma hemisphaericum;Cañada;240821-10;3;202;
Mediterranean;Phyteuma hemisphaericum;Cañada;240821-10;4;2;
Mediterranean;Phyteuma hemisphaericum;Cañada;240821-10;5;13;
Mediterranean;Phyteuma hemisphaericum;Cañada;240821-10;6;36;
Mediterranean;Phyteuma hemisphaericum;Cañada;240821-10;7;100;
Mediterranean;Phyteuma hemisphaericum;Cañada;240821-10;8;118;
Mediterranean;Phyteuma hemisphaericum;Cañada;240821-10;9;143;
Mediterranean;Phyteuma hemisphaericum;Cañada;240821-10;10;284;
Mediterranean;Phyteuma hemisphaericum;Penauta;250821-07;1;82;
Mediterranean;Phyteuma hemisphaericum;Penauta;250821-07;2;42;
Mediterranean;Phyteuma hemisphaericum;Penauta;250821-07;3;20;
Mediterranean;Phyteuma hemisphaericum;Penauta;250821-07;4;32;
Mediterranean;Phyteuma hemisphaericum;Penauta;250821-07;5;68;
Mediterranean;Phyteuma hemisphaericum;Penauta;250821-07;6;296;
Mediterranean;Phyteuma hemisphaericum;Penauta;250821-07;7;307;
Mediterranean;Phyteuma hemisphaericum;Penauta;250821-07;8;67;
Mediterranean;Phyteuma hemisphaericum;Penauta;250821-07;9;474;
Mediterranean;Phyteuma hemisphaericum;Penauta;250821-07;10;156;
Temperate;Phyteuma orbiculare;Los cazadores;300921-02;1;11;pasadas?
Temperate;Phyteuma orbiculare;Los cazadores;300921-02;2;1;pasadas?
Temperate;Phyteuma orbiculare;Los cazadores;300921-02;3;33;pasadas?
Temperate;Phyteuma orbiculare;Los cazadores;300921-02;4;48;pasadas?
Temperate;Phyteuma orbiculare;Los cazadores;300921-02;5;7;pasadas?
Temperate;Phyteuma orbiculare;Los cazadores;300921-02;6;12;pasadas?
Temperate;Phyteuma orbiculare;Los cazadores;300822-03;1;0;pasadas?
Temperate;Phyteuma orbiculare;Los cazadores;300822-03;2;0;pasadas?
Temperate;Phyteuma orbiculare;Los cazadores;300822-03;3;0;pasadas?
Temperate;Phyteuma orbiculare;Los cazadores;300822-03;4;0;pasadas?
Temperate;Phyteuma orbiculare;Los cazadores;300822-03;5;0;pasadas?
Temperate;Phyteuma orbiculare;Los cazadores;300822-03;6;3;pasadas?
Temperate;Phyteuma orbiculare;Los cazadores;300822-03;7;11;pasadas?
Temperate;Phyteuma orbiculare;Los cazadores;300822-03;8;1;pasadas?
Temperate;Phyteuma orbiculare;Los cazadores;300822-03;9;0;pasadas?
Temperate;Phyteuma orbiculare;Los cazadores;300822-03;10;10;pasadas?
Temperate;Plantago alpina;Hou sin tierri;130921-08;1;3;pasadas?
Temperate;Plantago alpina;Hou sin tierri;130921-08;2;5;pasadas?
Temperate;Plantago alpina;Hou sin tierri;130921-08;3;0;pasadas?
Temperate;Plantago alpina;Hou sin tierri;130921-08;4;8;pasadas?
Temperate;Plantago alpina;Hou sin tierri;130921-08;5;5;pasadas?
Temperate;Plantago alpina;Hou sin tierri;130921-08;6;4;pasadas?
Temperate;Plantago alpina;Hou sin tierri;130921-08;7;24;pasadas?
Temperate;Plantago alpina;Hou sin tierri;130921-08;8;10;pasadas?
Temperate;Plantago alpina;Hou sin tierri;130921-08;9;1;pasadas?
Temperate;Plantago alpina;Hou sin tierri;130921-08;10;11;pasadas?
Temperate;Plantago alpina;Hoyo sin tierra;300821-15;1;20;
Temperate;Plantago alpina;Hoyo sin tierra;300821-15;2;42;
Temperate;Plantago alpina;Hoyo sin tierra;300821-15;3;127;
Temperate;Plantago alpina;Hoyo sin tierra;300821-15;4;16;
Temperate;Plantago alpina;Hoyo sin tierra;300821-15;5;70;
Temperate;Plantago alpina;Hoyo sin tierra;300821-15;6;18;
Temperate;Plantago alpina;Hoyo sin tierra;300821-15;7;46;
Temperate;Plantago alpina;Hoyo sin tierra;300821-15;8;53;
Temperate;Plantago alpina;Hoyo sin tierra;300821-15;9;9;
Temperate;Plantago alpina;Hoyo sin tierra;300821-15;10;6;
Mediterranean;Plantago holosteum;Rabinalto;240821-04;1;109;
Mediterranean;Plantago holosteum;Rabinalto;240821-04;2;53;
Mediterranean;Plantago holosteum;Rabinalto;240821-04;3;48;
Mediterranean;Plantago holosteum;Rabinalto;240821-04;4;336;
Mediterranean;Plantago holosteum;Rabinalto;240821-04;5;182;
Mediterranean;Plantago holosteum;Rabinalto;240821-04;6;192;
Mediterranean;Plantago holosteum;Rabinalto;240821-04;7;31;
Mediterranean;Plantago holosteum;Rabinalto;240821-04;8;23;
Mediterranean;Plantago holosteum;Rabinalto;240821-04;9;118;
Mediterranean;Plantago holosteum;Rabinalto;240821-04;10;519;
Mediterranean;Plantago holosteum;Solana;250821-12;1;26;
Mediterranean;Plantago holosteum;Solana;250821-12;2;13;
Mediterranean;Plantago holosteum;Solana;250821-12;3;10;
Mediterranean;Plantago holosteum;Solana;250821-12;4;17;
Mediterranean;Plantago holosteum;Solana;250821-12;5;15;
Mediterranean;Plantago holosteum;Solana;250821-12;6;2;
Mediterranean;Plantago holosteum;Solana;250821-12;7;20;
Mediterranean;Plantago holosteum;Solana;250821-12;8;12;
Mediterranean;Plantago holosteum;Solana;250821-12;9;8;
Mediterranean;Plantago holosteum;Solana;250821-12;10;21;
Temperate;Saxifraga conifera;Boches;140921-08;1;1;
Temperate;Saxifraga conifera;Boches;140921-08;2;14;
Temperate;Saxifraga conifera;Boches;140921-08;3;2;
Temperate;Saxifraga conifera;Boches;140921-08;4;30;
Temperate;Saxifraga conifera;Boches;140921-08;5;49;
Temperate;Saxifraga conifera;Boches;140921-08;6;7;
Temperate;Saxifraga conifera;Boches;140921-08;7;0;
Temperate;Saxifraga conifera;Boches;140921-08;8;0;
Temperate;Saxifraga conifera;Boches;140921-08;9;7;
Temperate;Saxifraga conifera;Boches;140921-08;10;3;
Temperate;Saxifraga conifera;Hou sin tierri;130921-09;1;2;
Temperate;Saxifraga conifera;Hou sin tierri;130921-09;2;6;
Temperate;Saxifraga conifera;Hou sin tierri;130921-09;3;18;
Temperate;Saxifraga conifera;Hou sin tierri;130921-09;4;29;
Temperate;Saxifraga conifera;Hou sin tierri;130921-09;5;0;
Temperate;Saxifraga conifera;Hou sin tierri;130921-09;6;0;
Temperate;Saxifraga conifera;Hou sin tierri;130921-09;7;47;
Temperate;Saxifraga conifera;Hou sin tierri;130921-09;8;0;
Temperate;Saxifraga conifera;Hou sin tierri;130921-09;9;8;
Temperate;Saxifraga conifera;Hou sin tierri;130921-09;10;20;
Temperate;Saxifraga oppositifolia;Hoyo sin tierra;190822-05;1;0;
Temperate;Saxifraga oppositifolia;Hoyo sin tierra;190822-05;2;15;
Temperate;Saxifraga oppositifolia;Hoyo sin tierra;190822-05;3;0;
Temperate ;Saxifraga paniculata;Los cazadores;310821-14;1;117;
Temperate ;Saxifraga paniculata;Los cazadores;310821-14;2;207;
Temperate ;Saxifraga paniculata;Los cazadores;310821-14;3;385;
Temperate ;Saxifraga paniculata;Los cazadores;310821-14;4;349;
Temperate ;Saxifraga paniculata;Los cazadores;310821-14;5;82;
Temperate ;Saxifraga paniculata;Los cazadores;310821-14;6;295;
Temperate ;Saxifraga paniculata;Los cazadores;310821-14;7;146;
Temperate ;Saxifraga paniculata;Los cazadores;310821-14;8;226;
Temperate ;Saxifraga paniculata;Los cazadores;310821-14;9;51;
Temperate ;Saxifraga paniculata;Los cazadores;310821-14;10;502;
Temperate ;Saxifraga paniculata;Los cazadores;300822-06;1;1;
Temperate ;Saxifraga paniculata;Los cazadores;300822-06;2;2;
Temperate ;Saxifraga paniculata;Los cazadores;300822-06;3;0;
Temperate ;Saxifraga paniculata;Los cazadores;300822-06;4;30;
Temperate ;Saxifraga paniculata;Los cazadores;300822-06;5;0;
Temperate ;Saxifraga paniculata;Los cazadores;300822-06;6;10;
Temperate ;Saxifraga paniculata;Los cazadores;300822-06;7;0;
Temperate ;Saxifraga paniculata;Los cazadores;300822-06;8;40;
Temperate ;Saxifraga paniculata;Los cazadores;300822-06;9;21;
Temperate ;Saxifraga paniculata;Los cazadores;300822-06;10;5;
Temperate;Scilla verna;Los cazadores;310821-06;1;8;
Temperate;Scilla verna;Los cazadores;310821-06;2;4;
Temperate;Scilla verna;Los cazadores;310821-06;3;4;
Temperate;Scilla verna;Los cazadores;310821-06;4;7;
Temperate;Scilla verna;Los cazadores;310821-06;5;9;
Temperate;Scilla verna;Los cazadores;310821-06;6;8;
Temperate;Scilla verna;Los cazadores;310821-06;7;13;
Temperate;Scilla verna;Los cazadores;310821-06;8;8;
Temperate;Scilla verna;Los cazadores;310821-06;9;11;
Temperate;Scilla verna;Los cazadores;310821-06;10;10;
Mediterranean;Sedum anglicum;Cañada;240821-09;1;213;*valores aproximados semillas muy pequeñas para contador
Mediterranean;Sedum anglicum;Cañada;240821-09;2;523;*valores aproximados semillas muy pequeñas para contador
Mediterranean;Sedum anglicum;Cañada;240821-09;3;393;*valores aproximados semillas muy pequeñas para contador
Mediterranean;Sedum anglicum;Cañada;240821-09;4;780;*valores aproximados semillas muy pequeñas para contador
Mediterranean;Sedum anglicum;Cañada;240821-09;5;550;*valores aproximados semillas muy pequeñas para contador
Mediterranean;Sedum anglicum;Cañada;240821-09;6;521;*valores aproximados semillas muy pequeñas para contador
Mediterranean;Sedum anglicum;Cañada;240821-09;7;274;*valores aproximados semillas muy pequeñas para contador
